Period,Total Requests,Resolved Requests,Resolution Rate
The time period for which facility maintenance performance is being reported (e.g. Q2 2024).,The total number of facility maintenance requests received during the period.,The number of facility maintenance requests resolved during the period.,The percentage of facility maintenance requests resolved during the period.
Q3 2022,500,425,0.85
Q2 2022,460,391,0.85
Q1 2022,400,340,0.85
Q1 2023,390,332,0.85
Q2 2024,540,459,0.85
Q1 2024,420,357,0.85
Q4 2022,520,442,0.85
Q2 2023,450,383,0.85
Q3 2023,510,434,0.85
Q4 2023,480,408,0.85
