Period,Loyalty Program Members,Member Growth Rate,Average Spend per Member,Total Spend
The quarter or time period for which the loyalty program metrics are being reported.,The total number of active loyalty program members at the end of the reporting period.,The percentage change in loyalty program members from the previous period.,The average spend per loyalty program member during the reporting period.,The total spend by loyalty program members during the reporting period.
Q4 2023,880000,0.06,23,20240000
Q3 2022,730000,0.01,20.5,14965000
Q2 2024,1050000,0.1,24,25200000
Q2 2023,790000,0.04,22,17380000
Q4 2022,740000,0.02,21,15540000
Q1 2024,950000,0.08,23.5,22325000
Q1 2023,760000,0.03,21.5,16340000
Q2 2022,720000,0.005,20,14400000
Q3 2024,1200000,0.15,25,30000000
Q3 2023,830000,0.05,22.5,18675000
