Period,Total Maintenance Cost,Monthly Average Cost,Cost as a Percentage of Revenue
The time period for which the facility maintenance costs are being reported (e.g. Q1 2024),The total cost of facility maintenance for the reported period,The average monthly cost of facility maintenance for the reported period,The facility maintenance cost as a percentage of the company's revenue for the reported period
Q2 2023,900000,225000,0.04
Q2 2022,700000,175000,0.03
Q1 2024,1200000,300000,0.05
Q3 2023,1000000,250000,0.045
Q1 2022,600000,150000,0.025
Q3 2022,750000,187500,0.032
Q4 2022,850000,212500,0.038
Q1 2023,800000,200000,0.035
Q4 2023,1100000,275000,0.048
