Cloud-Based Infrastructure Percentage,Reporting Quarter,IT Infrastructure Type
"Percentage of company's IT infrastructure that is cloud-based, indicating the level of cloud adoption.",Quarter and year for which the cloud-based infrastructure percentage is reported.,"Type of IT infrastructure being reported, e.g. 'Total', 'Cloud-Based', 'On-Premises'."
0.42,Q1 2024,On-Premises
0.32,Q2 2024,On-Premises
0.7,Q2 2024,Total
0.65,Q1 2024,Total
0.53,Q4 2023,Cloud-Based
0.47,Q4 2023,On-Premises
0.58,Q1 2024,Cloud-Based
0.68,Q2 2024,Cloud-Based
0.55,Q3 2023,Total
0.6,Q4 2023,Total
