Time Period,Customer Retention Rate,Customer Segment,Customer Count,Retention Goal
The specific quarter or time frame for which customer retention is being measured.,The percentage of customers retained during the specified time period.,"The specific customer segment being measured, such as location or demographic.",The total number of customers in the specified segment during the time period.,The target customer retention rate for the specified time period.
Q2 2024,0.5,Competitor B,1100,0.6
Q3 2023,0.56,Lee's Market,850,0.65
Q2 2024,0.62,Lee's Market,1000,0.65
Q2 2024,0.45,Competitor C,1000,0.6
Q1 2024,0.59,Lee's Market,950,0.65
Q4 2023,0.58,Lee's Market,900,0.65
Q2 2023,0.55,Lee's Market,800,0.65
Q2 2024,0.55,Competitor A,1200,0.6
Q1 2023,0.53,Lee's Market,750,0.65
Q4 2022,0.52,Lee's Market,700,0.65
