Period,Loyalty Program Members,Active Members,Engagement Rate,New Member Acquisitions
The quarter or time period for which loyalty program metrics are being reported.,The total number of customers enrolled in the loyalty program.,The number of loyalty program members who have engaged with the program during the reporting period.,The percentage of loyalty program members who are actively engaged with the program.,The number of new customers who joined the loyalty program during the reporting period.
2022-06-30,230000,57500,0.25,30000
2023-12-31,330000,82500,0.25,45000
2023-09-30,320000,80000,0.25,42000
2024-03-31,350000,87500,0.25,50000
2022-03-31,220000,55000,0.25,28000
2022-09-30,240000,60000,0.25,32000
2022-12-31,250000,62500,0.25,35000
2021-12-31,200000,50000,0.25,25000
2023-06-30,300000,75000,0.25,40000
