Year,Quarter,Total IT Budget,Cybersecurity Allocation,Cybersecurity Percentage,Other Initiatives Allocation
The fiscal year for the IT budget allocation.,The fiscal quarter for the IT budget allocation.,The total IT budget allocated for the specified quarter in USD.,The portion of the IT budget allocated specifically for cybersecurity initiatives.,The percentage of the total IT budget allocated to cybersecurity.,The remaining portion of the IT budget allocated to other IT initiatives apart from cybersecurity.
2024,Q4,2550000,1050000,0.41,1500000
2024,Q2,2500000,1000000,0.4,1500000
2025,Q2,2700000,1150000,0.43,1550000
2023,Q2,2100000,600000,0.29,1500000
2024,Q1,2300000,800000,0.35,1500000
2023,Q4,2200000,700000,0.32,1500000
2023,Q3,1900000,400000,0.21,1500000
2024,Q3,2400000,900000,0.38,1500000
2023,Q1,2000000,500000,0.25,1500000
2025,Q1,2600000,1100000,0.42,1500000
