Quarter,Total_Customers,Online_Shoppers,Online_Shopping_Percentage
"The fiscal quarter and year for which the data is reported, e.g., 'Q1 2024'.",The total number of customers of Lee's Market during the specified quarter.,The number of customers who used online shopping services during the specified quarter.,The percentage of total customers who used online shopping services during the specified quarter.
Q2 2022,380000,80000,0.211
Q1 2022,370000,75000,0.203
Q3 2023,430000,110000,0.256
Q1 2023,410000,95000,0.232
Q4 2023,450000,120000,0.267
Q4 2022,400000,90000,0.225
Q3 2022,390000,85000,0.218
Q2 2023,420000,100000,0.238
Q1 2024,500000,150000,0.3
