Quarter,Total_Marketing_Costs,Revenue,Compliance_Costs,Net_Profit,Employee_Count
"The fiscal quarter to which the financial data pertains, e.g., 'Q1 2024'.",The total amount spent on marketing activities during the specified quarter. This reflects the company's investment in brand promotion and customer acquisition.,"The total revenue generated by the company in the specified quarter, indicating business growth and financial health.","Expenses related to maintaining compliance with industry regulations and certifications, crucial for operating in the healthcare sector.",The net profit achieved after deducting all expenses from the total revenue in the specified quarter. This is a key indicator of financial performance.,"The total number of employees working in the company during the specified quarter, reflecting potential operational scale and capacity."
Q3 2022,390000,6300000,130000,2400000,430
Q1 2024,500000,7500000,200000,3000000,500
Q1 2023,430000,6800000,170000,2600000,450
Q2 2023,420000,6700000,160000,2700000,460
Q4 2022,410000,6900000,140000,2750000,440
Q2 2022,385000,6200000,120000,2350000,420
Q1 2022,380000,6100000,125000,2300000,410
Q3 2023,400000,6500000,180000,2500000,470
Q4 2023,450000,7000000,150000,2800000,480
