Quarter,Mobile_App_Booking_Percentage,Total_Consultations,Mobile_App_Bookings,Desktop_Bookings,Marketing_Strategy_Notes
"The fiscal quarter during which the data was collected, e.g., Q3 2025.",The percentage of online consultations booked through the mobile app during the specified quarter.,The total number of online consultations conducted during the specified quarter.,The absolute number of consultations booked through the mobile app during the specified quarter.,The number of consultations booked through desktop or other non-mobile platforms during the specified quarter.,Notes or observations related to marketing strategies or trends observed during the specified quarter.
Q4 2023,18.00%,950,171,779,Initial launch of mobile app.
Q3 2024,25.00%,1100,275,825,Initiated email campaigns targeting desktop users.
Q3 2025,35.00%,1500,525,975,Understanding patient behavior and preferences to optimize our digital presence and content marketing strategy.
Q3 2023,15.00%,900,135,765,Focus on desktop marketing.
Q2 2024,22.00%,1050,231,819,Improved desktop user interface.
Q1 2025,30.00%,1300,390,910,Increased social media engagement.
Q2 2025,32.00%,1400,448,952,Launched new mobile app features.
Q1 2024,20.00%,1000,200,800,General increase in desktop bookings due to promotions.
Q4 2024,28.00%,1200,336,864,Focused on desktop advertising.
