Quarter,Audit_Cost_Percentage,Audit_Cost_Total,Annual_Revenue,Revenue_Range,Compliance_Certifications
"The fiscal quarter for which the compliance audit data is reported, formatted as 'QX YYYY'.",Compliance audit cost as a percentage of the annual revenue for the specified quarter.,"Total cost of the compliance audit for the specified quarter, in US dollars.","The total annual revenue of Elexion Automotive, in US dollars.","The range of the annual revenue for Elexion Automotive, given as a descriptive range (e.g., '$350M - $500M').","List of compliance certifications relevant to the audit, separated by commas."
Q4 2024,1.2%,"$3,600,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001, ISO 45001, ISO 50001"
Q3 2025,1.5%,"$4,500,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001, ISO 45001"
Q1 2026,0.9%,"$2,700,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001"
Q1 2024,0.8%,"$2,400,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001"
Q2 2025,1.1%,"$3,300,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001, ISO 45001"
Q4 2025,1.3%,"$3,900,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001, ISO 45001, ISO 50001"
Q2 2024,1.0%,"$3,000,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001, ISO 45001"
Q3 2024,0.9%,"$2,700,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001"
Q1 2025,0.7%,"$2,100,000.00","$300,000,000.00",$250M - $350M,"ISO 9001, ISO 14001"
