Certification Name,Year Implemented,Impact on Audit Findings,Comparable Enterprise
Name of the industry certification that has been implemented to improve security training.,The year when the certification was implemented.,The percentage change in audit findings after the implementation of the certification.,The comparable enterprise against which the impact is measured.
CISSP,2012,15,Johnson's Mart
CISM,2022,18,Jones's Supermarket
CompTIA Security+,2023,10,Williams's Market
CEH,2021,15,Clark's Store
PCI and DSS,2025,40,Lee's Market
CompTIA Security+,2010,20,Smith's Grocer
CCSP,2020,35,Taylor's Hypermarket
CISSP,2024,28,Brown's Mart
CEH,2018,30,Davis's Store
CISM,2015,25,Miller's Supermarket
CCSP,2019,22,Lewis's Hypermarket
