Company Name,Year,Crisis Handler,Activation Count,Average Response Time (Hours)
The name of the company to which the crisis communication response relates,The year during which the crisis communication responses occurred,The person or team responsible for handling the crisis communication,The number of times the crisis communication plan was activated during the specified year,The average time it took for the crisis communication response to be activated in hours
Seafood City,2020,Team Delta,2,3
Healthy Living,2018,John Doe,3,3
Fresh Fruits Co.,2020,Emma Watson,5,4
Quality Meats,2022,Sarah Johnson,2,2.5
Fruitful Bounty,2021,Team Epsilon,4,1.5
Lee's Market,2022,Andrew Park,3,2
Organic Foods,2019,Team Gamma,2,1
The Bread Shop,2020,Jennifer Roberts,1,1.5
Gourmet Deli,2019,Team Zeta,1,3.5
GreenGrocers,2021,Team Beta,4,2.5
Hamilton Grocers,2021,Team Alpha,2,3.5
