Month_Year,Company_Name,Total_Requests,Employee_Requests,Customer_Requests
The month and year of the service desk audit.,The name of the company where the service desk audit was conducted.,The total number of service desk requests received during the specified month and year.,The percentage of service desk requests that came from employees of the company during the specified month and year.,The percentage of service desk requests that came from customers of the company during the specified month and year.
2024-11,MediConn Solutions,1050,0.6,0.4
2025-09,MediConn Solutions,1000,0.7,0.3
2025-05,MediConn Solutions,750,0.6,0.4
2024-12,MediConn Solutions,1000,0.55,0.45
2025-07,MediConn Solutions,900,0.55,0.45
2025-03,MediConn Solutions,850,0.6,0.4
2025-08,MediConn Solutions,800,0.6,0.4
2025-02,MediConn Solutions,900,0.55,0.45
2025-01,MediConn Solutions,950,0.6,0.4
2025-04,MediConn Solutions,800,0.55,0.45
2025-06,MediConn Solutions,850,0.65,0.35
