Company_Name,Year,Average_Wait_Time
The name of the company providing the virtual prescription delivery service.,The year in which the reported average waiting time measurement was taken.,"The average waiting time for virtual prescription delivery, reported in days."
MediConn Solutions,2020,2
PharmaFast,2020,2.1
MediConn Solutions,2024,1.5
HealthLink Express,2021,2.3
MediConn Solutions,2021,1.8
HealthLink Express,2023,2.2
PharmaFast,2022,2.2
HealthLink Express,2022,2.1
PharmaFast,2023,2.3
MediConn Solutions,2023,1.6
