Company Name,Industry,Number of Provinces Covered,Coverage Expansion Date
The name of the company providing the virtual healthcare services.,"The industry in which the company operates, specifically, 'Virtual/Remote Healthcare'.",The number of provinces in Canada that the company's virtual healthcare services cover.,The date by which the company's virtual healthcare services coverage expanded to the mentioned number of provinces.
E-Med Services,Virtual/Remote Healthcare,5,2021-03-22
TeleHealth Partners,Virtual/Remote Healthcare,6,2022-05-04
HealthNet Global,Virtual/Remote Healthcare,6,2022-04-15
E-Health Connect,Virtual/Remote Healthcare,4,2020-01-07
VirtuCare Services,Virtual/Remote Healthcare,7,2023-06-10
TeleMed Solutions,Virtual/Remote Healthcare,8,2024-08-20
VirtuDoc Enterprises,Virtual/Remote Healthcare,8,2024-09-30
Healthlink Solutions,Virtual/Remote Healthcare,4,2020-02-01
VirtualMed Corporation,Virtual/Remote Healthcare,5,2021-02-18
ProHealth Virtual,Virtual/Remote Healthcare,7,2023-07-11
MediConn Solutions,Virtual/Remote Healthcare,9,2025-11-30
