Quarter,Year,Percentage_Needing_Step_By_Step_Guidance,Average_Call_Duration
The specific quarter in a given year when the customer service survey was conducted,The specific year when the customer service survey was conducted,Percentage of customer service representatives who reported that they often or very often need to provide step-by-step guidance through the booking interface,Representatives' average time spent per call just on booking navigation
Q3,2023,0.68,4.3
Q4,2024,0.78,5.5
Q2,2024,0.7,4.5
Q2,2022,0.58,3.9
Q3,2022,0.62,4.1
Q1,2022,0.55,3.8
Q4,2023,0.75,5
Q1,2023,0.6,4
Q2,2023,0.63,4.1
Q1,2024,0.65,4.2
Q4,2022,0.7,4.7
Q3,2024,0.72,4.7
