Year,Remote_Workers_Percentage,In_Office_Workers_Percentage,Hybrid_Workers_Percentage,Remote_Workers_Location_BC,Remote_Workers_Location_ON,Remote_Workers_Location_AB
The year the data was collected,The percentage of the customer service team that worked remotely,The percentage of the customer service team that worked in the office,The percentage of the customer service team that used a hybrid work model,The percentage of remote workers that are located in British Columbia,The percentage of remote workers that are located in Ontario,The percentage of remote workers that are located in Alberta
2018,0.1,0.7,0.2,0.3,0.45,0.25
2017,0.05,0.75,0.2,0.25,0.5,0.25
2020,0.3,0.5,0.2,0.4,0.35,0.25
2024,0.75,0.15,0.1,0.52,0.38,0.1
2019,0.2,0.6,0.2,0.35,0.4,0.25
2021,0.4,0.45,0.15,0.42,0.33,0.25
2022,0.5,0.35,0.15,0.45,0.35,0.2
2023,0.6,0.25,0.15,0.47,0.37,0.16
2016,0.02,0.78,0.2,0.2,0.55,0.25
