Company,Year,Average_Days_In_Dealership
"The company that manufactured the vehicle. In this case, it would be 'Elexion Automotive'.","The year the data is relevant for. In this case, it would be '2024'.","The average number of days the vehicles spent in the dealership before being sold. In this case, it would be '54'."
Aurora Motors,2024,40.2
Phoenix Auto,2023,35.6
Elexion Automotive,2023,45
Aurora Motors,2022,39.8
Elexion Automotive,2020,50
Elexion Automotive,2022,50
Phoenix Auto,2022,36.9
Elexion Automotive,2021,52
Elexion Automotive,2024,54
Aurora Motors,2023,42.3
Phoenix Auto,2024,33.5
