date,company_name,department,region,number_of_representatives
The date the data was reported,Name of the company,Department of the company for which the data is reported,Geographical region where the department is based,Number of representatives employed in the department
2025-01-01,Elexion Automotive,Sales,North America,120
2025-07-01,Elexion Automotive,Sales,North America,126
2025-10-01,Elexion Automotive,Sales,North America,132
2025-06-01,Elexion Automotive,Sales,North America,125
2025-02-01,Elexion Automotive,Sales,North America,121
2025-09-01,Elexion Automotive,Sales,North America,130
2025-03-01,Elexion Automotive,Sales,North America,122
2025-04-01,Elexion Automotive,Sales,North America,123
2025-05-01,Elexion Automotive,Sales,North America,124
2025-08-01,Elexion Automotive,Sales,North America,127
