Year,Company_Name,Local_Sourcing_Percentage,Sourcing_Region
The year in which the local sourcing percentage was determined.,The name of the automotive company.,The percentage of vehicle parts that the company sources locally.,The geographical region from which the vehicle parts are sourced.
2020,Elexion Automotive,0.55,North America
2019,Elexion Automotive,0.5,North America
2018,Elexion Automotive,0.45,North America
2019,Star Motors,0.4,North America
2022,Elexion Automotive,0.63,North America
2021,Star Motors,0.45,North America
2018,Star Motors,0.35,North America
2022,Star Motors,0.47,North America
2020,Star Motors,0.42,North America
2021,Elexion Automotive,0.6,North America
