Company,Study_Year,Study_Month,Infotainment_Performance,Retention_Rate
"The name of the company, in this case, 'Elexion Automotive'",The year in which the owner satisfaction study was conducted,The month in which the owner satisfaction study was conducted,Description of the infotainment system performance as reported by the customers,The retention rate of customers who reported a particular performance of the infotainment system
Elexion Automotive,2021,May,Excellent,92%
Elexion Automotive,2021,April,Connectivity Problems,70%
Elexion Automotive,2020,January,Moderate,78%
Elexion Automotive,2022,June,Moderate,80%
Elexion Automotive,2020,February,Connectivity Problems,69%
Elexion Automotive,2023,September,Connectivity Problems,71%
Elexion Automotive,2022,August,Excellent,90%
Elexion Automotive,2022,July,Connectivity Problems,68%
Elexion Automotive,2021,March,Excellent,91%
Elexion Automotive,2023,September,Excellent,94%
