Date,Total_Partnerships,US_Partnerships,Canada_Partnerships,Annual_Units
The date the data was recorded. This can help track the changes in the number and geographical distribution of partnerships over time.,The total number of regional partnerships Elexion Automotive maintains for second-life battery deployment or recycling. This gives an overview of the company's efforts in recycling and repurposing end-of-life EV batteries.,The number of partnerships Elexion Automotive maintains in the US for second-life battery deployment or recycling. This provides insights into the company's recycling efforts in the US market.,The number of partnerships Elexion Automotive maintains in Canada for second-life battery deployment or recycling. This provides insights into the company's recycling efforts in the Canadian market.,The approximate number of end-of-life EV batteries handled annually through these partnerships. This gives an idea of the scale of Elexion's recycling and repurposing efforts.
2025-10-01,5,4,1,350
2022-01-01,1,0,1,100
2024-10-01,3,2,1,275
2025-01-01,4,3,1,300
2021-10-01,1,0,1,90
2022-10-01,2,1,1,210
2021-01-01,0,0,0,0
2024-01-01,3,2,1,280
2023-01-01,2,1,1,220
2023-10-01,2,1,1,200
