Region,Dealer,YoY_growth,Vehicle_Type
The geographical region where the EV demand is being measured.,The dealership from where the EV demand is being recorded.,The Year-on-Year growth in mid-range EV inquiries recorded by the dealership.,The category of the Electric Vehicle for which the demand is being measured.
New York,New York EV Spot,7%,Mid-Range EV
Georgia,Georgia EV Bazaar,6%,Mid-Range EV
Washington,Washington EV Outlet,11%,Mid-Range EV
Illinois,Illinois EV Mart,10%,Mid-Range EV
Texas,Texas EV Center,6%,Mid-Range EV
Florida,Florida EV Hub,9%,Mid-Range EV
Arizona,Arizona EV Shop,12%,Mid-Range EV
Colorado,Colorado EV Store,15%,Mid-Range EV
California,California EV Dealer,8%,Mid-Range EV
Pennsylvania,Pennsylvania EV Emporium,8%,Mid-Range EV
Ohio,Ohio EV Showroom,9%,Mid-Range EV
