Quarter,Seminar_Title,Total_Employees,Attendees,Attendance_Rate,Location
The specific quarter of the year in which the wellness seminar was held.,Title of the wellness seminar held during the specified quarter.,The total number of employees at Elexion Automotive.,The number of employees who attended the wellness seminar.,The percentage of total employees who attended the wellness seminar.,The location where the wellness seminar was held.
2020 Q4,Stress Management Seminar,1380,180,0.1304347826086956,Elexion Automotive Headquarters
2020 Q2,Work-Life Balance Seminar,1300,130,0.1,Elexion Automotive Headquarters
2019 Q3,Heart Health Seminar,1200,80,0.06666666666666667,Elexion Automotive Headquarters
2021 Q4,Healthy Living Seminar,1500,310,0.2066666666666667,Elexion Automotive Headquarters
2019 Q2,Diabetes Prevention Seminar,1150,60,0.05217391304347826,Elexion Automotive Headquarters
2021 Q3,Mental Health Awareness,1480,250,0.1689189189189189,Elexion Automotive Headquarters
2020 Q3,Healthy Eating Seminar,1350,150,0.1111111111111111,Elexion Automotive Headquarters
2021 Q2,Nutritional Seminar,1450,220,0.1517241379310345,Elexion Automotive Headquarters
2021 Q1,Physical Fitness Seminar,1400,200,0.1428571428571428,Elexion Automotive Headquarters
2019 Q4,Alcohol Awareness Seminar,1250,100,0.08,Elexion Automotive Headquarters
2020 Q1,Smoking Cessation Seminar,1280,120,0.09375,Elexion Automotive Headquarters
