Store_Name,Quarter,Year,Waste_Generated
The name of the store including its location. This is related to the insight as it specifies the store for which the waste data is provided.,The specific quarter of the year. This is related to the insight as it specifies the time period for the waste data.,The specific year. This is related to the insight as it specifies the time period for the waste data.,The amount of waste generated by the store in tons. This is the primary data point in the insight.
Lee's Market Los Angeles,Q2,2025,70
Lee's Market New York City,Q2,2025,110
Lee's Market Chicago,Q1,2025,40
Lee's Market New York City,Q1,2025,100
Lee's Market Chicago,Q3,2025,60
Lee's Market Los Angeles,Q3,2025,80
Lee's Market New York City,Q3,2025,120
Lee's Market New York City,Q4,2025,90
Lee's Market Chicago,Q2,2025,50
Lee's Market Los Angeles,Q1,2025,60
